ticker,cik,name,eps_sector,stonks_silo,tanuki,eps,hypecore,status,registered_date,registration_source,registration_note,exclusion_reason
AAPL,0000320193,Apple Inc.,,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
ALAB,0001736297,"Astera Labs, Inc.",,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
AMAT,0000006951,APPLIED MATERIALS INC /DE,,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
AMD,0000002488,ADVANCED MICRO DEVICES INC,,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
AMZN,0001018724,AMAZON COM INC,,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
APP,0001751008,AppLovin Corp,,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
ASTS,0001780312,"AST SpaceMobile, Inc.",,true,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
AVAV,0001368622,AeroVironment Inc,,true,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
BBAI,0001836981,"BigBear.ai Holdings, Inc.",,true,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
BSY,0001031308,BENTLEY SYSTEMS INC,,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
CAKE,0000887596,Cheesecake Factory Inc,,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
CART,0001579091,Maplebear Inc.,,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
CEG,0001868275,Constellation Energy Corp,,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
CELH,0001341766,"Celsius Holdings, Inc.",,false,true,true,true,active,,unknown,列追加時点(2026-07-02)での遡及登録のため経緯不明,
