date,m2,hy_spread,fed_balance,tga,rrp,net_liquidity,reserve_balance,stealth_signal,stealth_absorb_weeks,net_liq_decline_weeks,stealth_alert,sp500
2023-01-01,21279.4,,8551169.0,427926.0,2553716.0,8.1207,,neutral,,,,
2023-01-02,21279.4,,8551169.0,427926.0,2553716.0,8.1207,,neutral,,,,
2023-01-03,21279.4,4.7,8551169.0,427926.0,2188272.0,8.1211,,supply,,,,3824.14
2023-01-04,21279.4,4.62,8507429.0,423625.0,2229542.0,8.0816,,supply,,,,3852.97
2023-01-05,21279.4,4.58,8507429.0,423625.0,2242486.0,8.0816,,neutral,,,,3808.1
2023-01-06,21279.4,4.47,8507429.0,423625.0,2208265.0,8.0816,,supply,,,,3895.08
2023-01-07,21279.4,,8507429.0,423625.0,2208265.0,8.0816,,neutral,,,,3895.08
2023-01-08,21279.4,,8507429.0,423625.0,2208265.0,8.0816,,neutral,,,,3895.08
2023-01-09,21279.4,4.37,8507429.0,423625.0,2199121.0,8.0816,,supply,,,,3892.09
2023-01-10,21279.4,4.33,8507429.0,423625.0,2192942.0,8.0816,,supply,,,,3919.25
2023-01-11,21279.4,4.3,8508587.0,372340.0,2199170.0,8.134,,supply,,,,3969.61
2023-01-12,21279.4,4.29,8508587.0,372340.0,2202989.0,8.134,,neutral,,,,3983.17
2023-01-13,21279.4,4.21,8508587.0,372340.0,2179781.0,8.1341,,supply,,,,3999.09
2023-01-14,21279.4,,8508587.0,372340.0,2179781.0,8.1341,,neutral,,,,3999.09
2023-01-15,21279.4,,8508587.0,372340.0,2179781.0,8.1341,,neutral,,,,3999.09
2023-01-16,21279.4,4.19,8508587.0,372340.0,2179781.0,8.1341,,neutral,,,,3999.09
2023-01-17,21279.4,4.19,8508587.0,372340.0,2093328.0,8.1342,,supply,,,,3990.97
2023-01-18,21279.4,4.25,8489039.0,339018.0,2131678.0,8.1479,,supply,,,,3928.86
2023-01-19,21279.4,4.39,8489039.0,339018.0,2110145.0,8.1479,,supply,,,,3898.85
2023-01-20,21279.4,4.35,8489039.0,339018.0,2090523.0,8.1479,,supply,,,,3972.61
2023-01-21,21279.4,,8489039.0,339018.0,2090523.0,8.1479,,neutral,,,,3972.61
2023-01-22,21279.4,,8489039.0,339018.0,2090523.0,8.1479,,neutral,,,,3972.61
2023-01-23,21279.4,4.27,8489039.0,339018.0,2135499.0,8.1479,,neutral,,,,4019.81
2023-01-24,21279.4,4.33,8489039.0,339018.0,2048386.0,8.148,,supply,,,,4016.95
2023-01-25,21279.4,4.35,8470557.0,491848.0,2031561.0,7.9767,,supply,,,,4016.22
2023-01-26,21279.4,4.24,8470557.0,491848.0,2024069.0,7.9767,,supply,,,,4060.43
2023-01-27,21279.4,4.23,8470557.0,491848.0,2003634.0,7.9767,,supply,,,,4070.56
2023-01-28,21279.4,,8470557.0,491848.0,2003634.0,7.9767,,neutral,,,,4070.56
2023-01-29,21279.4,,8470557.0,491848.0,2003634.0,7.9767,,neutral,,,,4070.56
2023-01-30,21279.4,4.26,8470557.0,491848.0,2048714.0,7.9767,,neutral,,,,4017.77
2023-01-31,21279.4,4.3,8470557.0,491848.0,2061572.0,7.9766,,neutral,,,,4076.6
2023-02-01,21242.9,4.31,8433610.0,560089.0,2038262.0,7.8715,,supply,,,,4119.21
2023-02-02,21242.9,3.94,8433610.0,560089.0,2050063.0,7.8715,,neutral,,,,4179.76
2023-02-03,21242.9,3.95,8433610.0,560089.0,2041217.0,7.8715,,supply,,,,4136.48
2023-02-04,21242.9,,8433610.0,560089.0,2041217.0,7.8715,,neutral,,,,4136.48
2023-02-05,21242.9,,8433610.0,560089.0,2041217.0,7.8715,,neutral,,,,4136.48
2023-02-06,21242.9,3.99,8433610.0,560089.0,2072261.0,7.8714,,neutral,,,,4111.08
2023-02-07,21242.9,3.99,8433610.0,560089.0,2057958.0,7.8715,,supply,,,,4164.0
2023-02-08,21242.9,4.07,8435369.0,493277.0,2059604.0,7.94,,supply,,,,4117.86
2023-02-09,21242.9,4.05,8435369.0,493277.0,2058942.0,7.94,,supply,,,,4081.5
2023-02-10,21242.9,4.24,8435369.0,493277.0,2042893.0,7.94,,supply,,,,4090.46
2023-02-11,21242.9,,8435369.0,493277.0,2042893.0,7.94,,neutral,,,,4090.46
2023-02-12,21242.9,,8435369.0,493277.0,2042893.0,7.94,,neutral,,,,4090.46
2023-02-13,21242.9,4.23,8435369.0,493277.0,2107775.0,7.94,,neutral,,,,4137.29
2023-02-14,21242.9,4.15,8435369.0,493277.0,2076548.0,7.94,,supply,,,,4136.13
2023-02-15,21242.9,4.18,8384767.0,490379.0,2011998.0,7.8924,,supply,,,,4147.6
2023-02-16,21242.9,4.24,8384767.0,490379.0,2032457.0,7.8924,,neutral,,,,4090.41
2023-02-17,21242.9,4.38,8384767.0,490379.0,2059662.0,7.8923,,neutral,,,,4079.09
2023-02-18,21242.9,,8384767.0,490379.0,2059662.0,7.8923,,neutral,,,,4079.09
2023-02-19,21242.9,,8384767.0,490379.0,2059662.0,7.8923,,neutral,,,,4079.09
2023-02-20,21242.9,4.38,8384767.0,490379.0,2059662.0,7.8923,,neutral,,,,4079.09
2023-02-21,21242.9,4.49,8384767.0,490379.0,2046064.0,7.8923,,supply,,,,3997.34
2023-02-22,21242.9,4.41,8382190.0,477333.0,2113849.0,7.9027,,supply,,,,3991.05
2023-02-23,21242.9,4.3,8382190.0,477333.0,2147417.0,7.9027,,neutral,,,,4012.32
2023-02-24,21242.9,4.28,8382190.0,477333.0,2142141.0,7.9027,,supply,,,,3970.04
2023-02-25,21242.9,,8382190.0,477333.0,2142141.0,7.9027,,neutral,,,,3970.04
2023-02-26,21242.9,,8382190.0,477333.0,2142141.0,7.9027,,neutral,,,,3970.04
2023-02-27,21242.9,4.21,8382190.0,477333.0,2162435.0,7.9027,,neutral,,,,3982.24
2023-02-28,21242.9,4.22,8382190.0,477333.0,2188035.0,7.9027,,neutral,,,,3970.15
2023-03-01,20946.8,4.17,8339684.0,381245.0,2133950.0,7.9563,,supply,,,,3951.39
2023-03-02,20946.8,4.18,8339684.0,381245.0,2192355.0,7.9562,,neutral,,,,3981.35
2023-03-03,20946.8,4.05,8339684.0,381245.0,2186150.0,7.9563,,supply,,,,4045.64
2023-03-04,20946.8,,8339684.0,381245.0,2186150.0,7.9563,,neutral,,,,4045.64
2023-03-05,20946.8,,8339684.0,381245.0,2186150.0,7.9563,,neutral,,,,4045.64
2023-03-06,20946.8,3.97,8339684.0,381245.0,2190793.0,7.9562,,neutral,,,,4048.42
2023-03-07,20946.8,3.98,8339684.0,381245.0,2170195.0,7.9563,,supply,,,,3986.37
2023-03-08,20946.8,4.09,8342283.0,333350.0,2193237.0,8.0067,,supply,,,,3992.01
2023-03-09,20946.8,4.27,8342283.0,333350.0,2229623.0,8.0067,,neutral,,,,3918.32
2023-03-10,20946.8,4.61,8342283.0,333350.0,2188375.0,8.0067,,supply,,,,3861.59
2023-03-11,20946.8,,8342283.0,333350.0,2188375.0,8.0067,,neutral,,,,3861.59
2023-03-12,20946.8,,8342283.0,333350.0,2188375.0,8.0067,,neutral,,,,3861.59
2023-03-13,20946.8,5.03,8342283.0,333350.0,2126677.0,8.0068,,supply,,,,3855.76
2023-03-14,20946.8,4.74,8342283.0,333350.0,2042579.0,8.0069,,supply,,,,3919.29
2023-03-15,20946.8,5.2,8639300.0,232866.0,2055823.0,8.4044,,supply,,,,3891.93
2023-03-16,20946.8,4.93,8639300.0,232866.0,2066319.0,8.4044,,neutral,,,,3960.28
2023-03-17,20946.8,5.17,8639300.0,232866.0,2106166.0,8.4043,,neutral,,,,3916.64
2023-03-18,20946.8,,8639300.0,232866.0,2106166.0,8.4043,,neutral,,,,3916.64
2023-03-19,20946.8,,8639300.0,232866.0,2106166.0,8.4043,,neutral,,,,3916.64
2023-03-20,20946.8,5.15,8639300.0,232866.0,2098393.0,8.4043,,supply,,,,3951.57
2023-03-21,20946.8,4.85,8639300.0,232866.0,2194631.0,8.4042,,neutral,,,,4002.87
2023-03-22,20946.8,5.0,8733787.0,259587.0,2279608.0,8.4719,,absorb,,,,3936.97
2023-03-23,20946.8,5.1,8733787.0,259587.0,2233956.0,8.472,,supply,,,,3948.72
2023-03-24,20946.8,5.22,8733787.0,259587.0,2218458.0,8.472,,supply,,,,3970.99
2023-03-25,20946.8,,8733787.0,259587.0,2218458.0,8.472,,neutral,,,,3970.99
2023-03-26,20946.8,,8733787.0,259587.0,2218458.0,8.472,,neutral,,,,3970.99
2023-03-27,20946.8,5.03,8733787.0,259587.0,2220131.0,8.472,,neutral,,,,3977.53
2023-03-28,20946.8,5.01,8733787.0,259587.0,2231749.0,8.472,,neutral,,,,3971.27
2023-03-29,20946.8,4.83,8705942.0,183577.0,2264862.0,8.5201,,supply,,,,4027.81
2023-03-30,20946.8,4.74,8705942.0,183577.0,2271531.0,8.5201,,neutral,,,,4050.83
2023-03-31,20946.8,4.58,8705942.0,183577.0,2375171.0,8.52,,neutral,,,,4109.31
2023-04-01,20761.4,,8705942.0,183577.0,2375171.0,8.52,,neutral,,,,4109.31
2023-04-02,20761.4,,8705942.0,183577.0,2375171.0,8.52,,neutral,,,,4109.31
2023-04-03,20761.4,4.58,8705942.0,183577.0,2221010.0,8.5201,,supply,,,,4124.51
2023-04-04,20761.4,4.73,8705942.0,183577.0,2219375.0,8.5201,,supply,,,,4100.6
2023-04-05,20761.4,4.84,8632384.0,168793.0,2243011.0,8.4613,,supply,,,,4090.38
2023-04-06,20761.4,4.84,8632384.0,168793.0,2173663.0,8.4614,,supply,,,,4105.02
2023-04-07,20761.4,,8632384.0,168793.0,2173663.0,8.4614,,neutral,,,,4105.02
2023-04-08,20761.4,,8632384.0,168793.0,2173663.0,8.4614,,neutral,,,,4105.02
2023-04-09,20761.4,,8632384.0,168793.0,2173663.0,8.4614,,neutral,,,,4105.02
2023-04-10,20761.4,4.7,8632384.0,168793.0,2239655.0,8.4614,,neutral,,,,4109.11
2023-04-11,20761.4,4.63,8632384.0,168793.0,2297208.0,8.4613,,neutral,,,,4108.94
2023-04-12,20761.4,4.62,8614797.0,109208.0,2303862.0,8.5033,,supply,,,,4091.95
2023-04-13,20761.4,4.49,8614797.0,109208.0,2321699.0,8.5033,,neutral,,,,4146.22
2023-04-14,20761.4,4.43,8614797.0,109208.0,2253786.0,8.5033,,supply,,,,4137.64
2023-04-15,20761.4,,8614797.0,109208.0,2253786.0,8.5033,,neutral,,,,4137.64
2023-04-16,20761.4,,8614797.0,109208.0,2253786.0,8.5033,,neutral,,,,4137.64
2023-04-17,20761.4,4.41,8614797.0,109208.0,2256845.0,8.5033,,neutral,,,,4151.32
2023-04-18,20761.4,4.37,8614797.0,109208.0,2238994.0,8.5034,,supply,,,,4154.87
2023-04-19,20761.4,4.41,8593263.0,166555.0,2294677.0,8.4244,,absorb,,,,4154.52
2023-04-20,20761.4,4.54,8593263.0,166555.0,2277259.0,8.4244,,supply,,,,4129.79
2023-04-21,20761.4,4.46,8593263.0,166555.0,2290023.0,8.4244,,neutral,,,,4133.52
2023-04-22,20761.4,,8593263.0,166555.0,2290023.0,8.4244,,neutral,,,,4133.52
2023-04-23,20761.4,,8593263.0,166555.0,2290023.0,8.4244,,neutral,,,,4133.52
2023-04-24,20761.4,4.48,8593263.0,166555.0,2308538.0,8.4244,,neutral,,,,4137.04
2023-04-25,20761.4,4.64,8593263.0,166555.0,2275402.0,8.4244,,supply,,,,4071.63
2023-04-26,20761.4,4.63,8562768.0,291702.0,2279561.0,8.2688,,absorb,,,,4055.99
2023-04-27,20761.4,4.48,8562768.0,291702.0,2273926.0,8.2688,,supply,,,,4135.35
2023-04-28,20761.4,4.5,8562768.0,291702.0,2325479.0,8.2687,,neutral,,,,4169.48
